,run_date,case_number,merchant_customer_id,account_name,astro_mkp,type_of_request,status,create_date,listing_complete_date,owner,integration_start_date,status_notes,handoff_date,merchant_rank,case_rank,encrypt_id,Key,SPOC
29,2022-12-30,1138786,15748792035.0,Kenners NL,DE,Technical Onboarding Request - New Seller,Completed,2022-01-07,2022-07-22,PREMALATHA MADDIRALA,2022-04-04,DSR,2022-01-24,1,1,AE9XWIQL6Y1PP,AE9XWIQL6Y1PPPREMALATHA MADDIRALA,
30,2022-12-30,1323769,26734295922.0,CombineSell Official Store,,Technical Onboarding Request - New Seller,Completed,2022-05-27,2022-12-22,PRAKASH JHA,2022-07-18,DSR integrator - SG,2022-05-27,1,1,A11FHG2K4NXOY0,A11FHG2K4NXOY0PRAKASH JHA,
31,2022-12-30,1133203,1268325702.0,BATI AVENUE,FR,Technical Onboarding Request - New Seller,Completed,2021-12-08,2022-05-17,PREMALATHA MADDIRALA,2021-12-22,APPSTORE_PUSH,2021-12-15,1,1,A2LZMZQ9DBT9X2,A2LZMZQ9DBT9X2PREMALATHA MADDIRALA,
32,2022-12-30,1386848,784182062.0,eSagu Test Shop,DE,Technical Onboarding Request - Reintegration,Completed,2022-12-22,2022-12-20,YASHWANT KOMATI,2022-09-01,3PD_INTEGRATOR,2022-09-01,1,1,A36ZK2676CMY20,A36ZK2676CMY20YASHWANT KOMATI,YASHWANT KOMATI
34,2022-12-30,1357440,702460482.0,MART24,UK,Technical Onboarding Request - New Seller,Completed,2022-09-22,2022-12-15,HARISH GANESAN,2022-09-23,DSR_INTEGRATOR,2022-09-22,1,1,A2KH30OJGWZ16Y,A2KH30OJGWZ16YHARISH GANESAN,HARISH GANESAN
35,2022-12-30,1253706,52126209022.0,MPM Global,AU,Technical Onboarding Request - New Seller,Completed,2022-01-27,2022-09-13,PREMALATHA MADDIRALA,2022-03-15,DSR_ INTEGRATOR _CID_A1HU8P02K6D4AW,2022-01-31,1,1,A1HU8P02K6D4AW,A1HU8P02K6D4AWPREMALATHA MADDIRALA,
36,2022-12-30,1343428,4171932622.0,Tempe Tyres,AU,Technical Onboarding Request - New Seller,Completed,2022-08-04,2022-09-14,LIPSA MOHANTY,2022-08-08,DSR,2022-08-08,1,1,A29JY6WLPCR27S,A29JY6WLPCR27SLIPSA MOHANTY,LIPSA MOHANTY
37,2022-12-30,1129738,103201641812.0,Pixartprinting,IT,Technical Onboarding Request - New Seller,Completed,2021-11-22,2022-08-12,INDRA TATIKONDA,2021-12-13,DSR,2021-12-02,1,1,A17DUNM4B0R1J8,A17DUNM4B0R1J8INDRA TATIKONDA,
39,2022-12-30,1342121,106934163.0,SquareTrade Ltd (UK),UK,Technical Onboarding Request - Reintegration,Completed,2022-08-01,2022-07-29,INDRA TATIKONDA,2022-04-26,Insurance_UK,2022-04-26,1,1,AISROPIK7BSFK,AISROPIK7BSFKINDRA TATIKONDA,INDRA TATIKONDA
40,2022-12-30,1354413,38932262405.0,Lucky Sign,DE,Technical Onboarding Request - New Seller,Completed,2022-09-12,2022-10-11,FARAH BHAGAT,2022-09-12,DSR_INTEGRATOR,2022-09-06,1,1,A2MD496QMDQD3T,A2MD496QMDQD3TFARAH BHAGAT,
41,2022-12-30,1335635,315277875612.0,OKufficio,IT,Technical Onboarding Request - New Seller,Completed,2022-07-07,2022-09-30,LIPSA MOHANTY,2022-07-08,DSR,2022-07-07,1,1,A2LLN6FOIDNUIJ,A2LLN6FOIDNUIJLIPSA MOHANTY,LIPSA MOHANTY
42,2022-12-30,1114310,62541484612.0,GPB-Development,DE,Technical Onboarding Request - New Seller,Completed,2021-09-06,2022-08-27,PRAKASH JHA,2021-09-13,3PD_INTEGRATOR _CID:AETJIZQPGKI55,2021-07-01,1,1,AETJIZQPGKI55,AETJIZQPGKI55PRAKASH JHA,PRAKASH JHA
43,2022-12-30,1275960,1117966663.0,Relaxdays,DE,Technical Onboarding Request - New Seller,Completed,2022-02-24,2022-05-12,NIVEDITHA PARVATHA,2022-03-03,DSR - SP-API Integration,2022-02-28,1,1,A2P2JN1SD7RV9V,A2P2JN1SD7RV9VNIVEDITHA PARVATHA,NIVEDITHA PARVATHA
44,2022-12-30,1365872,27839197812.0,Leon Design,UK,Technical Onboarding Request - New Seller,Completed,2022-10-21,2022-12-07,RAJARSHI CHATTERJEE,2022-10-26,DSR,2022-10-21,1,1,A3KMW8B1S1RIOH,A3KMW8B1S1RIOHRAJARSHI CHATTERJEE,RAJARSHI CHATTERJEE
47,2022-12-30,1333182,1199906422.0,Yeppon Italia,IT,Technical Onboarding Request - Reintegration,Completed,2022-06-29,2022-09-26,PREMALATHA MADDIRALA,2022-07-04,DSR,2022-07-02,1,1,A2D7NX4BNCP0J6,A2D7NX4BNCP0J6PREMALATHA MADDIRALA,PREMALATHA MADDIRALA
48,2022-12-30,1341971,33498216312.0,InfoShore,UK,Technical Onboarding Request - New Seller,Completed,2022-08-01,2022-08-01,FARAH BHAGAT,2022-02-15,3PD_Integrator,2022-02-15,1,1,A180Y7DKXL74QO,A180Y7DKXL74QOFARAH BHAGAT,FARAH BHAGAT
49,2022-12-30,1333780,51632955122.0,DM Dasher,SG,Technical Onboarding Request - New Seller,Completed,2022-06-30,2022-12-02,LIPSA MOHANTY,2022-07-01,DSR,2022-07-01,1,1,A32VL2PF2JLGTX,A32VL2PF2JLGTXLIPSA MOHANTY,LIPSA MOHANTY
50,2022-12-30,1119766,38397489712.0,To B To C,IT,Technical Onboarding Request - Reintegration,Completed,2021-10-05,2022-03-23,NIVEDITHA PARVATHA,2021-10-11,DSR case,2021-10-05,1,1,A26BPTIVQURTF4,A26BPTIVQURTF4NIVEDITHA PARVATHA,NIVEDITHA PARVATHA
51,2022-12-30,1306262,5392901322.0,Sello-Products,AU,Technical Onboarding Request - New Seller,Completed,2022-03-29,2022-04-04,YASHWANT KOMATI,2022-03-29,SMART_CONNECT_AU,2022-03-01,1,1,A4IBC1X76HVPJ,A4IBC1X76HVPJYASHWANT KOMATI,YASHWANT KOMATI
52,2022-12-30,1271150,1193020072.0,Comarch Cloud,DE,Technical Onboarding Request - New Seller,Completed,2022-02-07,2022-10-14,NIVEDITHA PARVATHA,2022-01-20,PL-Integrator,2022-01-20,1,1,A29FHHW4EYWKZF,A29FHHW4EYWKZFNIVEDITHA PARVATHA,
53,2022-12-30,1328769,23527331512.0,Myboeken-NL,UK,Technical Onboarding Request - New Seller,Completed,2022-06-14,2022-09-28,HARISH GANESAN,2022-06-17,DSR,2022-06-15,1,1,A2DSHOKGI3NQS5,A2DSHOKGI3NQS5HARISH GANESAN,
54,2022-12-30,1337213,497750032302.0,Giuseppe Zanotti,US,Technical Onboarding Request - New Seller,Completed,2022-07-13,2022-11-21,YASHWANT KOMATI,2022-07-20,BRAND_OWNER,2022-07-18,1,1,AP058T5SZVOSA,AP058T5SZVOSAYASHWANT KOMATI,
55,2022-12-30,1125423,10300313925.0,EMK Warenhandel GmbH,DE,Technical Onboarding Request - New Seller,Completed,2021-11-02,2022-03-07,DILIP CHAVALI,2021-12-07,DSR SP_API_INTEGRATION,2021-11-03,1,1,A29OET38HD6TL4,A29OET38HD6TL4DILIP CHAVALI,DILIP CHAVALI
56,2022-12-30,1338109,286757669012.0,FiloBlu | Hydrogen,IT,Technical Onboarding Request - New Seller,Completed,2022-07-18,2022-12-12,LAKSHMI PRATYUSHA VELAMAKANNI,2022-08-04,DSR_INTEGRATOR,2022-07-20,1,1,ABD719VQT3V3Q,ABD719VQT3V3QLAKSHMI PRATYUSHA VELAMAKANNI,LAKSHMI PRATYUSHA VELAMAKANNI
57,2022-12-30,1276392,7342745425.0,funbikes,UK,Technical Onboarding Request - Reintegration,Completed,2022-02-25,2022-07-01,PREMALATHA MADDIRALA,2022-03-29,DSR,2022-03-24,1,1,A3LET7JLZA3W8M,A3LET7JLZA3W8MPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
58,2022-12-30,1356607,7913905322.0,Eiz Pty Ltd,AU,Technical Onboarding Request - New Seller,Completed,2022-09-19,2022-08-31,YASHWANT KOMATI,2022-07-25,DSR_INTEGRATOR_AES,2022-07-15,2,1,A2AAP1ZNM6SPO6,A2AAP1ZNM6SPO6YASHWANT KOMATI,YASHWANT KOMATI
59,2022-12-30,1351548,162521507012.0,BigNameProducts,UK,Technical Onboarding Request - New Seller,Completed,2022-09-02,2022-09-12,HIMANSHU DHAMI,2022-09-09,DSR,2022-09-06,1,1,A1Z8D3XI5286X3,A1Z8D3XI5286X3HIMANSHU DHAMI,HIMANSHU DHAMI
61,2022-12-30,1115619,17809842225.0,facilecomm,FR,Technical Onboarding Request - New Seller,Completed,2021-09-13,2022-05-11,PREMALATHA MADDIRALA,2021-09-13,3PD_INTEGRATOR,2021-09-09,1,1,A2QTI7RBYI0TSJ,A2QTI7RBYI0TSJPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
62,2022-12-30,1307532,8755170725.0,Lampenwelt,DE,Technical Onboarding Request - New Seller,Completed,2022-04-01,2022-09-12,FARAH BHAGAT,2022-05-13,DSR,2022-04-06,1,1,A2EBO8IFI3PHDW,A2EBO8IFI3PHDWFARAH BHAGAT,
63,2022-12-30,1343563,184819580112.0,exitB GmbH,DE,Technical Onboarding Request - New Seller,Completed,2022-08-05,2022-08-05,PRAKASH JHA,2022-03-01,3PD_Integrator_CID_A3O1SPPVFKO786,2022-08-05,1,1,AJT3T741JTY50,AJT3T741JTY50PRAKASH JHA,
66,2022-12-30,1129667,188064802.0,iLikeStores,UK,Technical Onboarding Request - New Seller,Completed,2021-11-22,2022-07-07,NIVEDITHA PARVATHA,2021-12-01,DSR - SP_API New integration,2021-11-30,1,1,A35K9TQ5ML353X,A35K9TQ5ML353XNIVEDITHA PARVATHA,NIVEDITHA PARVATHA
67,2022-12-30,1354997,78045848422.0,Paula's Choice Singapore,SG,Technical Onboarding Request - New Seller,Completed,2022-09-14,2022-12-22,PRAKASH JHA,2022-09-14,DSR_SG,2022-09-15,1,1,AJOGNUDEXVIA6,AJOGNUDEXVIA6PRAKASH JHA,
69,2022-12-30,1299486,27509975022.0,Pet Lovers Centre,SG,Technical Onboarding Request - Reintegration,Completed,2022-03-07,2022-08-10,DILIP CHAVALI,2022-02-01,DSR,2022-03-07,1,1,A3H12QH1LWBW3W,A3H12QH1LWBW3WDILIP CHAVALI,DILIP CHAVALI
70,2022-12-30,1306253,5124765822.0,AUSWAY,AU,Technical Onboarding Request - New Seller,Completed,2022-03-29,2022-04-08,NIVEDITHA PARVATHA,2022-01-05,SMART_CONNECT_AU,2022-01-05,1,1,A3LPD6H7SGQ9C4,A3LPD6H7SGQ9C4NIVEDITHA PARVATHA,NIVEDITHA PARVATHA
71,2022-12-30,1315915,691253923.0,Component Shop,UK,Technical Onboarding Request - New Seller,Completed,2022-05-03,2022-10-31,YASHWANT KOMATI,2022-06-30,DSR_INTEGRATOR,2022-06-30,1,1,A1RBLI8BU7UB9Y,A1RBLI8BU7UB9YYASHWANT KOMATI,YASHWANT KOMATI
72,2022-12-30,1121525,15577205725.0,Smartie onestic,US,Technical Onboarding Request - New Seller,Completed,2021-10-13,2022-05-05,NIVEDITHA PARVATHA,2021-10-25,DSR_INTEGRATOR,2021-10-20,1,1,ATZHRMQEZT7PH,ATZHRMQEZT7PHNIVEDITHA PARVATHA,NIVEDITHA PARVATHA
73,2022-12-30,1126487,252335421712.0,Golf Division,UK,Technical Onboarding Request - New Seller,Completed,2021-11-08,2022-02-28,INDRA TATIKONDA,2021-12-13,DSR,2021-11-12,1,1,A31PEFUEEV6PSJ,A31PEFUEEV6PSJINDRA TATIKONDA,
74,2022-12-30,1342961,37158712.0,starsellersworld,UK,Technical Onboarding Request - New Seller,Completed,2022-08-03,2022-09-30,LAKSHMI PRATYUSHA VELAMAKANNI,2022-08-04,DSR_Integrator CID : AHUWQFX6A5A7A,2022-07-11,1,1,AHUWQFX6A5A7A,AHUWQFX6A5A7ALAKSHMI PRATYUSHA VELAMAKANNI,LAKSHMI PRATYUSHA VELAMAKANNI
75,2022-12-30,1355074,288214700412.0,24sevencommerce,IN,Technical Onboarding Request - New Seller,Completed,2022-09-14,2022-07-31,YASHWANT KOMATI,2022-05-01,3PD_INTEGRATOR,2022-06-01,1,1,A45WGWJYWNE5C,A45WGWJYWNE5CYASHWANT KOMATI,YASHWANT KOMATI
76,2022-12-30,1335247,286464572812.0,Farmacia San Vito SNC,IT,Technical Onboarding Request - New Seller,Completed,2022-07-06,2022-10-11,PRAKASH JHA,2022-07-14,DSR,2022-07-08,1,1,A10Y5PEYA9LW1E,A10Y5PEYA9LW1EPRAKASH JHA,
77,2022-12-30,1333997,216907575412.0,James and James Fulfilment Ltd,UK,Technical Onboarding Request - New Seller,Completed,2022-07-01,2022-09-15,PREMALATHA MADDIRALA,2022-03-09,3PD_INTEGRATOR,2022-03-09,1,1,A31RBRCMSSH01S,A31RBRCMSSH01SPREMALATHA MADDIRALA,
78,2022-12-30,1121034,171342460812.0,Taking Shape UK,UK,Technical Onboarding Request - New Seller,Completed,2021-10-11,2022-05-11,PREMALATHA MADDIRALA,2021-11-19,APPSTORE_PUSH,2021-10-12,1,1,ANA8CYU1L7S3O,ANA8CYU1L7S3OPREMALATHA MADDIRALA,
80,2022-12-30,1313910,61543876612.0,IDEA commerce solutions LTD,UK,Technical Onboarding Request - Reintegration,Completed,2022-04-25,2022-07-20,PREMALATHA MADDIRALA,2022-05-04,DSR_INTEGRATOR_PL,2022-04-25,1,1,A24EU5R6LZP9WR,A24EU5R6LZP9WRPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
81,2022-12-30,1322806,299145257012.0,VetnPetMeds,UK,Technical Onboarding Request - New Seller,Completed,2022-05-24,2022-08-01,PREMALATHA MADDIRALA,2022-06-16,APPSTORE_PUSH,2022-05-24,1,1,A20THV727AB6WR,A20THV727AB6WRPREMALATHA MADDIRALA,
82,2022-12-30,1341484,5201275422.0,digiDirect,AU,Technical Onboarding Request - Reintegration,Completed,2022-07-29,2022-11-11,KEZIA IDIKKULA MUTHALALY,2022-08-08,DSR_INTEGRATOR,2022-08-01,1,1,A1PKQVF8702H8E,A1PKQVF8702H8EKEZIA IDIKKULA MUTHALALY,
83,2022-12-30,1349531,69005117122.0,PRISM+,AU,Technical Onboarding Request - New Seller,Completed,2022-08-26,2022-11-17,LIPSA MOHANTY,2022-08-31,DSR,2022-08-30,1,1,A17Z6OYDMF2V9K,A17Z6OYDMF2V9KLIPSA MOHANTY,LIPSA MOHANTY
84,2022-12-30,1339407,1589260551.0,Spreetail,US,Technical Onboarding Request - Reintegration,Completed,2022-07-22,2022-05-01,INDRA TATIKONDA,2022-03-03,DSR,2022-03-01,1,1,A1DXN92KCKEQV4,A1DXN92KCKEQV4INDRA TATIKONDA,
85,2022-12-30,1350688,22016827722.0,Research Driven Retail,AU,Technical Onboarding Request - New Seller,Completed,2022-08-30,2022-07-29,RAJARSHI CHATTERJEE,2022-07-25,GLOBAL_DSR,2022-06-29,1,1,A3JJYEDMIUE6J8,A3JJYEDMIUE6J8RAJARSHI CHATTERJEE,
86,2022-12-30,1315536,15062273925.0,Wolford Official,DE,Technical Onboarding Request - New Seller,Completed,2022-05-02,2022-06-10,YASHWANT KOMATI,2022-05-09,DSR,2022-05-07,2,1,AQ59IEXQVAO35,AQ59IEXQVAO35YASHWANT KOMATI,YASHWANT KOMATI
87,2022-12-30,1129915,23255434512.0,Monoprix,FR,Technical Onboarding Request - Reintegration,Completed,2021-11-23,2022-07-19,INDRA TATIKONDA,2021-12-06,F3_FR_MCID- A39IAEDNN88TCS,2021-11-29,1,1,A3V2YRID8WCF50,A3V2YRID8WCF50INDRA TATIKONDA,
89,2022-12-30,1339438,4693480022.0,Artiss Furnishings,AU,Technical Onboarding Request - New Seller,Completed,2022-07-22,2022-05-16,FARAH BHAGAT,2021-10-18,SMART_CONNECT_AU,2021-10-18,1,1,A2HTZW3QXAOFKJ,A2HTZW3QXAOFKJFARAH BHAGAT,FARAH BHAGAT
90,2022-12-30,1325073,279718361812.0,GRADE MOBILE EU,UK,Technical Onboarding Request - New Seller,Completed,2022-06-01,2022-07-04,HARISH GANESAN,2022-06-01,DSR,2022-06-01,1,1,AZ18R5IR8K0S4,AZ18R5IR8K0S4HARISH GANESAN,
91,2022-12-30,1140017,54338332112.0,Danube Home,AE,Technical Onboarding Request - New Seller,Completed,2022-01-13,2022-09-06,FARAH BHAGAT,2022-05-12,DSR,2022-04-20,1,1,A2XXLIAGF5WNT5,A2XXLIAGF5WNT5FARAH BHAGAT,
92,2022-12-30,1110692,714883472.0,AOSOM-DE,DE,Technical Onboarding Request - New Seller,Completed,2021-08-17,2022-08-08,INDRA TATIKONDA,2021-08-23,SMART_CONNECT_EU,2021-08-23,1,1,ASA5WXWTY79KU,ASA5WXWTY79KUINDRA TATIKONDA,
93,2022-12-30,1342951,16031703325.0,taxdoo,DE,Technical Onboarding Request - New Seller,Completed,2022-08-03,2022-07-30,YASHWANT KOMATI,2022-06-30,3PD_INTEGRATOR,2022-06-30,1,1,A3KQQV48BUTIJM,A3KQQV48BUTIJMYASHWANT KOMATI,YASHWANT KOMATI
94,2022-12-30,1386921,25902174605.0,Feedbiz,US,Technical Onboarding Request - New Seller,Completed,2022-12-22,2022-12-10,YASHWANT KOMATI,2022-09-01,DSR_INTEGRATOR_AES,2022-09-01,1,1,A12TSOGZWIJ0IM,A12TSOGZWIJ0IMYASHWANT KOMATI,
95,2022-12-30,1309500,292328554212.0,Festina Group Official,ES,Technical Onboarding Request - New Seller,Completed,2022-04-08,2022-11-28,PRAKASH JHA,2022-05-30,DSR_CID_A3QR4QDIY50JB4,2022-04-12,1,1,A3QR4QDIY50JB4,A3QR4QDIY50JB4PRAKASH JHA,PRAKASH JHA
97,2022-12-30,1364353,182742570812.0,MaxICT,NL,Technical Onboarding Request - New Seller,Completed,2022-10-17,2022-12-16,RAJARSHI CHATTERJEE,2022-10-26,DSR,2022-10-18,1,1,A1MOJW3D9SW12W,A1MOJW3D9SW12WRAJARSHI CHATTERJEE,RAJARSHI CHATTERJEE
98,2022-12-30,1341169,44798743912.0,byrd technologies,DE,Technical Onboarding Request - New Seller,Completed,2022-07-28,2022-09-05,HARISH GANESAN,2022-07-28,3PD_INTEGRATOR,2022-07-13,1,1,A2CWJFW1FBTT4V,A2CWJFW1FBTT4VHARISH GANESAN,HARISH GANESAN
99,2022-12-30,1358409,150904514912.0,Skechers Türkiye,TR,Technical Onboarding Request - New Seller,Completed,2022-09-26,2022-11-10,INDRA TATIKONDA,2022-10-07,TR Private_Developer,2022-09-28,1,1,A2EZLNRTNZW2O3,A2EZLNRTNZW2O3INDRA TATIKONDA,INDRA TATIKONDA
100,2022-12-30,1325687,1115005042.0,Easynotebooks,DE,Technical Onboarding Request - Reintegration,Completed,2022-06-03,2022-10-06,DILIP CHAVALI,2022-06-03,DSR _ MWS_TO_SP_API_MIGRATION,2022-06-03,1,1,A1JKW2YIU3CC6S,A1JKW2YIU3CC6SDILIP CHAVALI,
101,2022-12-30,1312393,11490388925.0,Krack,ES,Technical Onboarding Request - Reintegration,Completed,2022-04-20,2022-08-10,LIPSA MOHANTY,2022-05-13,DSR,2022-04-21,1,1,A29BE4Y4OUBJPF,A29BE4Y4OUBJPFLIPSA MOHANTY,
